nct,cond,title,ivnames,mode,u,outcome,cat,growthdx,growthdrug,restore,arm,av,asd,an,ref,rv,rn,diff,se,z
NCT02968004,Pediatric Growth Hormone Deficiency,Safety and Efficacy Phase 3 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children,MOD-4023 ; Somatropin,active-comparator,cm/yr,Annual Height Velocity in OLE Phase,OLE Month 12,True,True,True,Genotropin,8.21,1.87,108,MOD-4023,8.03,104,0.18,,
NCT02968004,Pediatric Growth Hormone Deficiency,Safety and Efficacy Phase 3 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children,MOD-4023 ; Somatropin,active-comparator,cm/yr,Annual Height Velocity in OLE Phase,OLE Month 24,True,True,True,Genotropin,8.05,1.77,108,MOD-4023,7.78,104,0.27,,
NCT02968004,Pediatric Growth Hormone Deficiency,Safety and Efficacy Phase 3 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children,MOD-4023 ; Somatropin,active-comparator,cm/yr,Annual Height Velocity in OLE Phase,OLE Month 36,True,True,True,Genotropin,7.14,1.69,108,MOD-4023,6.9,104,0.24,,
NCT02968004,Pediatric Growth Hormone Deficiency,Safety and Efficacy Phase 3 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children,MOD-4023 ; Somatropin,active-comparator,cm/yr,Annual Height Velocity in OLE Phase,OLE Month 48,True,True,True,Genotropin,6.86,2.08,108,MOD-4023,6.19,104,0.67,,
NCT02968004,Pediatric Growth Hormone Deficiency,Safety and Efficacy Phase 3 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children,MOD-4023 ; Somatropin,active-comparator,cm/yr,Height Velocity at 6 Months in Main Study Phase,,True,True,True,MOD-4023,10.59,,109,Genotropin,10.04,115,0.55,,
NCT01592500,Pediatric Growth Hormone Deficiency,Safety and Efficacy Phase 2 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children,MOD-4023 ; Somatropin,active-comparator,cm/yr,Annual Height Velocity,,True,True,True,MOD-4023 Middle Dose,11.0,2.3,15,MOD-4023 Low Dose,10.4,13,0.6,,
NCT01592500,Pediatric Growth Hormone Deficiency,Safety and Efficacy Phase 2 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children,MOD-4023 ; Somatropin,active-comparator,cm/yr,Annual Height Velocity,,True,True,True,MOD-4023 High Dose,11.9,3.5,13,MOD-4023 Low Dose,10.4,13,1.5,,
NCT01592500,Pediatric Growth Hormone Deficiency,Safety and Efficacy Phase 2 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children,MOD-4023 ; Somatropin,active-comparator,cm/yr,Annual Height Velocity,,True,True,True,Genotropin,12.5,2.1,11,MOD-4023 Low Dose,10.4,13,2.1,,
NCT01592500,Pediatric Growth Hormone Deficiency,Safety and Efficacy Phase 2 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children,MOD-4023 ; Somatropin,active-comparator,cm/yr,Height Velocity at 6 Months,,True,True,True,MOD-4023 Middle Dose,12.5,2.4,15,MOD-4023 Low Dose,11.8,13,0.7,,
NCT01592500,Pediatric Growth Hormone Deficiency,Safety and Efficacy Phase 2 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children,MOD-4023 ; Somatropin,active-comparator,cm/yr,Height Velocity at 6 Months,,True,True,True,MOD-4023 High Dose,13.5,5.0,13,MOD-4023 Low Dose,11.8,13,1.7,,
NCT01592500,Pediatric Growth Hormone Deficiency,Safety and Efficacy Phase 2 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children,MOD-4023 ; Somatropin,active-comparator,cm/yr,Height Velocity at 6 Months,,True,True,True,Genotropin,15.0,2.9,11,MOD-4023 Low Dose,11.8,13,3.2,,
NCT02797132,Cystic Fibrosis,"Safety and Pharmacokinetic Study of Lumacaftor/Ivacaftor in Subjects Aged 2 Through 5 Years With Cystic Fibrosis, Homozygous for F508del",LUM/IVA,active-comparator,cm,Part B: Absolute Change From Baseline in Stature (Height) at Week 24,,False,False,True,Part B (<14 kg Weight): LUM 100 mg/IVA 125 mg,4.1,1.4,19,Part B (>=14 kg Weight): LUM 150 mg/IVA 188 mg,3.4,38,0.7,,
NCT02797132,Cystic Fibrosis,"Safety and Pharmacokinetic Study of Lumacaftor/Ivacaftor in Subjects Aged 2 Through 5 Years With Cystic Fibrosis, Homozygous for F508del",LUM/IVA,active-comparator,Z,Part B: Absolute Change From Baseline in Stature-for-Age Z-Score,,False,False,True,Part B (<14 kg Weight): LUM 100 mg/IVA 125 mg,0.19,0.32,19,Part B (>=14 kg Weight): LUM 150 mg/IVA 188 mg,0.04,38,0.15,,
NCT00001521,Congenital Adrenal Hyperplasia (CAH),Three Drug Combination Therapy Versus Conventional Treatment of Children With Congenital Adrenal Hyperplasia,Fludrocortisone ; Hydrocortisone ; Letrozole ; Flutamide ; Testolactone,active-comparator,Z,Predicted Adult Height Change,Pubertal onset to final visit,False,True,True,Standard Therapy,0.14,0.54,26,Investigational Therapy,-0.1,17,0.24,,
NCT00001521,Congenital Adrenal Hyperplasia (CAH),Three Drug Combination Therapy Versus Conventional Treatment of Children With Congenital Adrenal Hyperplasia,Fludrocortisone ; Hydrocortisone ; Letrozole ; Flutamide ; Testolactone,active-comparator,Z,Average Annual Growth Velocity,Pubertal onset to adult height,False,True,True,Investigational Therapy,0.65,1.42,21,Standard Therapy,-0.29,31,0.94,,
NCT01207908,Duchenne Muscular Dystrophy,Safety and Efficacy Study of IGF-1 in Duchenne Muscular Dystrophy,IGF-1,active-comparator,cm/yr,Difference in Height Velocity Between Groups (Control Minus IGF-1) for Change at 6 Months Versus Baseline,,False,True,False,IGF-1,2.6,1.64,17,Standard Steroid Treatment Alone,-0.06,21,2.66,,
NCT00572156,Insulin-like Growth Factor-1 Deficiency,rhGH and rhIGF-1 Combination Therapy in Children With Short Stature Associated With IGF-1 Deficiency,NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]),active-comparator,Z,Cumulative Change in Height Standard Deviation Score (SDS),"First year [n= 25,27,27,26]",True,True,True,45 rhGH + 50 rhIGF-1,0.9,0.2,27,rhGH Alone,0.7,25,0.2,,
NCT00572156,Insulin-like Growth Factor-1 Deficiency,rhGH and rhIGF-1 Combination Therapy in Children With Short Stature Associated With IGF-1 Deficiency,NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]),active-comparator,Z,Cumulative Change in Height Standard Deviation Score (SDS),"First year [n= 25,27,27,26]",True,True,True,45 rhGH + 100 rhIGF-1,0.8,0.4,27,rhGH Alone,0.7,25,0.1,,
NCT00572156,Insulin-like Growth Factor-1 Deficiency,rhGH and rhIGF-1 Combination Therapy in Children With Short Stature Associated With IGF-1 Deficiency,NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]),active-comparator,Z,Cumulative Change in Height Standard Deviation Score (SDS),"First year [n= 25,27,27,26]",True,True,True,45 rhGH + 150 rhIGF-1,1.0,0.4,26,rhGH Alone,0.7,25,0.3,,
NCT00572156,Insulin-like Growth Factor-1 Deficiency,rhGH and rhIGF-1 Combination Therapy in Children With Short Stature Associated With IGF-1 Deficiency,NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]),active-comparator,Z,Cumulative Change in Height Standard Deviation Score (SDS),"Second year [n= 24,25,22,24]",True,True,True,45 rhGH + 50 rhIGF-1,1.4,0.4,27,rhGH Alone,1.0,25,0.4,,
NCT00572156,Insulin-like Growth Factor-1 Deficiency,rhGH and rhIGF-1 Combination Therapy in Children With Short Stature Associated With IGF-1 Deficiency,NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]),active-comparator,Z,Cumulative Change in Height Standard Deviation Score (SDS),"Second year [n= 24,25,22,24]",True,True,True,45 rhGH + 100 rhIGF-1,1.4,0.5,27,rhGH Alone,1.0,25,0.4,,
NCT00572156,Insulin-like Growth Factor-1 Deficiency,rhGH and rhIGF-1 Combination Therapy in Children With Short Stature Associated With IGF-1 Deficiency,NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]),active-comparator,Z,Cumulative Change in Height Standard Deviation Score (SDS),"Second year [n= 24,25,22,24]",True,True,True,45 rhGH + 150 rhIGF-1,1.6,0.6,26,rhGH Alone,1.0,25,0.6,,
NCT00572156,Insulin-like Growth Factor-1 Deficiency,rhGH and rhIGF-1 Combination Therapy in Children With Short Stature Associated With IGF-1 Deficiency,NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]),active-comparator,Z,Cumulative Change in Height Standard Deviation Score (SDS),"Third year [n=22,22,20,22]",True,True,True,45 rhGH + 50 rhIGF-1,1.6,0.4,27,rhGH Alone,1.3,25,0.3,,
NCT00572156,Insulin-like Growth Factor-1 Deficiency,rhGH and rhIGF-1 Combination Therapy in Children With Short Stature Associated With IGF-1 Deficiency,NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]),active-comparator,Z,Cumulative Change in Height Standard Deviation Score (SDS),"Third year [n=22,22,20,22]",True,True,True,45 rhGH + 100 rhIGF-1,1.8,0.7,27,rhGH Alone,1.3,25,0.5,,
NCT00572156,Insulin-like Growth Factor-1 Deficiency,rhGH and rhIGF-1 Combination Therapy in Children With Short Stature Associated With IGF-1 Deficiency,NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]),active-comparator,Z,Cumulative Change in Height Standard Deviation Score (SDS),"Third year [n=22,22,20,22]",True,True,True,45 rhGH + 150 rhIGF-1,1.9,0.6,26,rhGH Alone,1.3,25,0.6,,
NCT00572156,Insulin-like Growth Factor-1 Deficiency,rhGH and rhIGF-1 Combination Therapy in Children With Short Stature Associated With IGF-1 Deficiency,NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]),active-comparator,Z,Cumulative Change in Height Standard Deviation Score (SDS),"Fourth year [n=17,16,15,16]",True,True,True,45 rhGH + 50 rhIGF-1,1.8,0.5,27,rhGH Alone,1.5,25,0.3,,
NCT00572156,Insulin-like Growth Factor-1 Deficiency,rhGH and rhIGF-1 Combination Therapy in Children With Short Stature Associated With IGF-1 Deficiency,NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]),active-comparator,Z,Cumulative Change in Height Standard Deviation Score (SDS),"Fourth year [n=17,16,15,16]",True,True,True,45 rhGH + 100 rhIGF-1,2.1,0.8,27,rhGH Alone,1.5,25,0.6,,
NCT00572156,Insulin-like Growth Factor-1 Deficiency,rhGH and rhIGF-1 Combination Therapy in Children With Short Stature Associated With IGF-1 Deficiency,NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]) ; Increlex® (Mecasermin [rDNA origin] injection) + NutropinAq® (Somatropin [rDNA origin]),active-comparator,Z,Cumulative Change in Height Standard Deviation Score (SDS),"Fourth year [n=17,16,15,16]",True,True,True,45 rhGH + 150 rhIGF-1,2.0,0.7,26,rhGH Alone,1.5,25,0.5,,
NCT00570492,"Rhinitis, Allergic, Perennial",Phase 4 Fluticasone Furoate Nasal Spray (VERAMYST) Long Term Pediatric Growth Study.,Fluticasone furoate nasal spray ; Placebo nasal spray,placebo,cm/yr,Change From Baseline in the Growth Velocity of Pre-pubescent Pediatric Participants to the End of the 52-week Double-blind (DB) Treatment Period,,False,False,True,FFNS 110 mcg,5.19,0.1,217,Placebo,5.46,218,-0.27,,
NCT01485614,Diabetes Mellitus ; Type 2 Diabetes,Study to Assess Safety & Efficacy of Sitagliptin as Initial Oral Therapy for Treatment of Type 2 Diabetes Mellitus in Pediatric Participants. (MK-0431-083),Sitagliptin ; Metformin ; Placebo to sitagliptin ; Placebo to metformin ; Glycemic Rescue 1 ; Glycemic Rescue 2,placebo,cm/yr,Growth Velocity at Week 20 - Females,,False,False,False,Sitagliptin,3.2,8.2,46,Placebo/Metformin,1.9,53,1.3,,
NCT01485614,Diabetes Mellitus ; Type 2 Diabetes,Study to Assess Safety & Efficacy of Sitagliptin as Initial Oral Therapy for Treatment of Type 2 Diabetes Mellitus in Pediatric Participants. (MK-0431-083),Sitagliptin ; Metformin ; Placebo to sitagliptin ; Placebo to metformin ; Glycemic Rescue 1 ; Glycemic Rescue 2,placebo,cm/yr,Growth Velocity at Week 54 - Females,,False,False,False,Sitagliptin,2.1,3.7,37,Placebo/Metformin,1.2,48,0.9,,
NCT01485614,Diabetes Mellitus ; Type 2 Diabetes,Study to Assess Safety & Efficacy of Sitagliptin as Initial Oral Therapy for Treatment of Type 2 Diabetes Mellitus in Pediatric Participants. (MK-0431-083),Sitagliptin ; Metformin ; Placebo to sitagliptin ; Placebo to metformin ; Glycemic Rescue 1 ; Glycemic Rescue 2,placebo,cm/yr,Growth Velocity at Week 20 - Males,,False,False,False,Sitagliptin,2.6,2.7,38,Placebo/Metformin,3.6,29,-1.0,,
NCT01485614,Diabetes Mellitus ; Type 2 Diabetes,Study to Assess Safety & Efficacy of Sitagliptin as Initial Oral Therapy for Treatment of Type 2 Diabetes Mellitus in Pediatric Participants. (MK-0431-083),Sitagliptin ; Metformin ; Placebo to sitagliptin ; Placebo to metformin ; Glycemic Rescue 1 ; Glycemic Rescue 2,placebo,cm/yr,Growth Velocity at Week 54 - Males,,False,False,False,Sitagliptin,2.5,2.5,35,Placebo/Metformin,2.8,25,-0.3,,
NCT03170518,"Diabetes Mellitus, Type 2",A Study to Investigate the Efficacy and Safety of Canagliflozin in Children and Adolescents (>=10 to <18 Years) With Type 2 Diabetes Mellitus,Canagliflozin 100 mg ; Canagliflozin 300 mg ; Placebo,placebo,cm/yr,Growth Velocity at Weeks 26 and 52,Week 26,False,False,False,Canagliflozin 100 mg,1.94,2.791,64,Placebo,2.08,81,-0.14,,
NCT03170518,"Diabetes Mellitus, Type 2",A Study to Investigate the Efficacy and Safety of Canagliflozin in Children and Adolescents (>=10 to <18 Years) With Type 2 Diabetes Mellitus,Canagliflozin 100 mg ; Canagliflozin 300 mg ; Placebo,placebo,cm/yr,Growth Velocity at Weeks 26 and 52,Week 26,False,False,False,Canagliflozin 300 mg,1.0,4.294,16,Placebo,2.08,81,-1.08,,
NCT03170518,"Diabetes Mellitus, Type 2",A Study to Investigate the Efficacy and Safety of Canagliflozin in Children and Adolescents (>=10 to <18 Years) With Type 2 Diabetes Mellitus,Canagliflozin 100 mg ; Canagliflozin 300 mg ; Placebo,placebo,cm/yr,Growth Velocity at Weeks 26 and 52,Week 52,False,False,False,Canagliflozin 100 mg,1.46,1.824,64,Placebo,1.63,81,-0.17,,
NCT03170518,"Diabetes Mellitus, Type 2",A Study to Investigate the Efficacy and Safety of Canagliflozin in Children and Adolescents (>=10 to <18 Years) With Type 2 Diabetes Mellitus,Canagliflozin 100 mg ; Canagliflozin 300 mg ; Placebo,placebo,cm/yr,Growth Velocity at Weeks 26 and 52,Week 52,False,False,False,Canagliflozin 300 mg,1.76,3.004,16,Placebo,1.63,81,0.13,,
NCT01277510,"Chronic Kidney Disease ; Hyperparathyroidism ; Hyperparathyroidism, Secondary ; Kidney Disease ; Secondary Hyperparathyroidism",Pediatric Chronic Kidney Disease Safety and Efficacy,cinacalcet capsule ; placebo ; Standard of Care,placebo,cm/yr,Growth Velocity From Baseline to End of Double-blind Phase,,False,False,True,Cinacalcet,3.3,,17,Placebo,3.1,19,0.2,,
NCT00449072,"Rhinitis, Allergic, Perennial","Study of Triamcinolone Acetonide on the Growth Velocity of Children, Ages 3 to 9, With Perennial Allergic Rhinitis (PAR)","Placebo ; Placebo ; TAA-AQ, Nasacort® AQ ; Claritin®",placebo,cm/yr,Growth Velocity,,False,False,True,TAA-AQ,5.65,0.122,134,Placebo,6.09,133,-0.44,,
NCT02268552,Spinal Muscular Atrophy,An Open Label Study of LMI070 (Branaplam) in Type 1 Spinal Muscular Atrophy (SMA),branaplam,active-comparator,cm,"Change From Baseline in Growth Parameters: Chest Circumference, Head Circumference and Body Length - Full Analysis Set (FAS)",Chest - Week 52,False,False,True,Parts 2 & 3 Overall,5.656,3.0167,25,Parts 1 & 3 Overall,4.68,13,0.976,,
NCT02268552,Spinal Muscular Atrophy,An Open Label Study of LMI070 (Branaplam) in Type 1 Spinal Muscular Atrophy (SMA),branaplam,active-comparator,cm,"Change From Baseline in Growth Parameters: Chest Circumference, Head Circumference and Body Length - Full Analysis Set (FAS)",Chest - P3 Month 6,False,False,True,Parts 1 & 3 Overall,14.75,548.0,13,Parts 2 & 3 Overall,8.582,25,6.168,,
NCT02268552,Spinal Muscular Atrophy,An Open Label Study of LMI070 (Branaplam) in Type 1 Spinal Muscular Atrophy (SMA),branaplam,active-comparator,cm,"Change From Baseline in Growth Parameters: Chest Circumference, Head Circumference and Body Length - Full Analysis Set (FAS)",Head -Week 52,False,False,True,Parts 2 & 3 Overall,5.111,1.3407,25,Parts 1 & 3 Overall,5.03,13,0.081,,
